file	line	english	russian	status
overrides/config/ftbquests/quests/chapter_groups.snbt	3	Welcome To Astropolis	Добро пожаловать в Astropolis	reviewed
overrides/config/ftbquests/quests/chapter_groups.snbt	4	Space Mart	Космомаркет	reviewed
overrides/config/ftbquests/quests/chapter_groups.snbt	5	First Asteroids	Первые астероиды	reviewed
overrides/config/ftbquests/quests/chapter_groups.snbt	6	Iron	Железо	reviewed
overrides/config/ftbquests/quests/chapter_groups.snbt	7	Mining Belt	Шахтёрский пояс	reviewed
overrides/config/ftbquests/quests/chapter_groups.snbt	8	Venus	Венера	reviewed
overrides/config/ftbquests/quests/chapter_groups.snbt	9	Moon	Луна	reviewed
overrides/config/ftbquests/quests/chapter_groups.snbt	10	Mars	Марс	reviewed
overrides/config/ftbquests/quests/chapter_groups.snbt	11	Home Sweet Home	Дом, милый дом	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	16	A big machine used to double ores as well as crafting new items	Большая машина, которая удваивает руду и позволяет создавать новые предметы	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	78	Arc Furnace	Дуговая печь	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	84	Used to make a faster version of the blast furnace. Create a 3x3x3 of reinforced blast bricks with a hopper on the top middle block	Позволяет построить улучшенную доменную печь. Сложите куб 3x3x3 из укреплённых доменных кирпичей и установите воронку сверху по центру	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	104	Used to increase the speed of the blast furnace	Используется для увеличения скорости доменной печи	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	121	Can provide furnaces with heat using RF instead of using fuel	Нагревает печи энергией RF вместо обычного топлива	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	138	Can be used as power transport as a alternative to pipes	Передаёт энергию по проводам — альтернатива трубам	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	155	Connects to blocks that produce or require power	Соединяет провода с блоками, которые вырабатывают или потребляют энергию	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	172	Allows multiple wire to be connected to it and allows you to build a power grid	Позволяет соединить несколько проводов и построить электросеть	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	193	Used inside the arc furnace 	Используется в дуговой печи	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	216	Used to crush up items and blocks. Can be used to turn clusters into dusts	Дробит предметы и блоки; в частности, превращает кластеры в пыль	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	255	Crusher	Дробилка	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	261	Smelted HOP graphite dust	Переплавленная графитовая пыль HOP	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	278	Made in the squeezer	Создаётся в выжимателе	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	295	Squeezes items and blocks. Can be used to make water	Выжимает предметы и блоки; также позволяет получать воду	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	345	Squeezer	Выжиматель	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	351	Made inside the crusher	Создаётся в дробилке	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	368	Places blocks	Размещает блоки	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	385	Break blocks	Ломает блоки	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	402	Can be made in a arc furnace	Создаётся в дуговой печи	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	419	A better furnace	Улучшенная печь	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	436	An even better furnace	Ещё более эффективная печь	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	467	Drops items	Выбрасывает предметы	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	484	Can be placed in any direction	Можно установить в любом направлении	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	501	Can be used to make graphite rods more efficiently	Можно использовать для более эффективного изготовления графитовых стержней	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	525	Used to upgrade you infinite water source, right click the original in world to upgrade	Улучшает бесконечный источник воды: нажмите ПКМ по установленному в мире источнику	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	545	Made from old industrial wooden planks and iron. After getting redstone you will have the ability to use x net	Создаётся из старых промышленных досок и железа. После получения редстоуна станет доступна сеть XNet	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	562	Just smaller machine frames	Уменьшенные корпуса машин	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	579	Allows redstone signal on timers	Подаёт сигнал редстоуна по таймеру	reviewed
overrides/config/ftbquests/quests/chapters/arc_furnace.snbt	596	Allows the auto crafting of a set recipe	Автоматически создаёт предмет по заданному рецепту	reviewed
overrides/config/ftbquests/quests/chapters/basic_information.snbt	11	Welcome to Astropolis 	Добро пожаловать в Astropolis	reviewed
overrides/config/ftbquests/quests/chapters/basic_information.snbt	20	Welcome to Astropolis	Добро пожаловать в Astropolis	reviewed
